Detail 1     (OpNumber MinDuration MaxDuration Stage)
  1    0.5   10     1
  2    4      5     2
  4    0.5    3     3
  5    0.5    3     4
  6    1      2     5
  7    0.5    3     6
  8    0.5   1      7
  9   35     40     8
 10    0.5    1     9
 11    0.5    1    10
 12    0.5    1    11
 13    0.5    5    12
 14    1      2    13
 15    0.25   0.5  14
 16   40     45    15
 17    0.5    1    16
 18    0.5    1    17
 22    2      3    18
 24    6     10    19
 25    0.5   10    20
Detail 2
  1    0.5   10     1
  2    4      5     2
  4    0.5    3     3
  5    0.5    3     4
  6    1      2     5
  7    0.5    3     6
  8    1      2     7
  9  175    200     8
 10    1      2     9
 11    1      2    10
 12    1      2    11
 13    0.5    5    12
 14    1      2    13
 15    0.5    1    14
 16  200    225    15
 17    1      2    16
 18    1      2    17
 22    2      3    18
 23    0.5    1    19
 24    6     10    20
 25    0.5   10    21
Detail 3
  1    0.5   10     1
  2    4      5     2
  4    0.5    3     3
  5    0.5    3     4
  6    1      2     5
  7    0.5    3     6
  8    0.5    1     7
  9   35     40     8
 10    0.5    1     9
 11    0.5    2    10
 12    0.5    1    11
 13    0.5    5    12
 22    2      3    13
 24    6     10    14
 25    0.5   10    15
Detail 4
  1    0.5   10     1
  3    4      5     2
  4    0.5    3     3
  5    0.5    3     4
 13    0.5    5     5
 14    1      2     6
 15    0.25   0.5   7
 16   40     45     8
 17    0.5    1     9
 18    0.5    1    10
 22    2      3    11
 24    6     10    12
 25    0.5   10    13
Detail 5
  1    0.5   10     1
  3    4      5     2
  4    0.5    3     3
  5    0.5    3     4
 13    0.5    5     5
 14    1      2     6
 15    0.5    1     7
 16  200    225     8
 17    1      2     9
 18    1      2    10
 22    2      3    11
 23    0.5    1    12
 24    6     10    13
 25    0.5   10    14
Detail 6
  1    0.5   10     1
  2    4      5     2
  4    0.5    3     3
  5    0.5    3     4
  6    1      2     5
  7    0.5    3     6
  8    1      2     7
  9  175    200     8
 10    1      2     9
 11    1      2    10
 12    1      2    11
 13    0.5    5    12
 14    1      2    13
 15    0.5    1    14
 19   50     60    15
 20    1      2    16
 21    1      2    17
 22    2      3    18
 23    0.5    1    19
 24    6     10    20
 25    0.5   10    21
Detail 7
  1    0.5   10     1
  3    4      5     2
  4    0.5    3     3
  5    0.5    3     4
 13    0.5    5     5
 14    1      2     6
 15    0.5    1     7
 19   50     60     8
 20    1      2     9
 21    1      2    10
 22    2      3    11
 23    0.5    1    12
 24    6     10    13
 25    0.5   10    14
Charge order
0 7  4.7 5  23.91 2  208.2 6  204.41 4  5.2  1   53.0  3  Charge order and delays
0 7  4.7 5  16.0  2  175.7 6  200.0  4  3.7  1   51.0  3  Charge order and delays
0 7  4.7 5  16.0  2  175.7 6  200.0  4  4.33 1   53.33 3  Charge order and delays
0 7  4.7 5  16.0  2  175.7 6  209.9  4  1.6  1  110.0  3  Charge order and delays
(Регламент обработки семи различных деталей)
