Detail 1
  1    0.50   10.00   1
  2    4.00    5.00   2
  4    0.50    3.00   3
  5    0.50    3.00   4
  6    1.00    2.00   5
  7    0.50    3.00   6
  8    0.50    1.00   7
  9   45.00   40.00   8
 10    0.50    1.00   9
 11    0.50    1.00  10
 12    0.50    1.00  11
 13    0.50    5.00  12
 14    1.00    2.00  13
 15    0.25    0.50  14
 16   40.00   45.00  15
 17    0.50    1.00  16
 18    0.50    1.00  17
 22    2.00    3.00  18
 24    6.00   10.00  19
 25    0.50   10.00  20
Detail 2
  1    0.50   10.00   1
  2    4.00    5.00   2
  4    0.50    3.00   3
  5    0.50    3.00   4
  6    1.00    2.00   5
Charge order
    0.00  7    4.70  5   16.00  2  175.70  6  200.00  4    3.70  1   51.00  3
